tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
390948867394,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Vadodara,GJ,390005,2020-03-09 15:12:00 IST,2020-03-12 12:30:00 IST,69.3,0,5,60.71666666666667,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,10
391080357350,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400053,2020-03-13 17:14:00 IST,2020-03-16 16:40:00 IST,71.43333333333334,0,5,56.483333333333334,NULL,False,RESIDENCE,1,True,11
390769041097,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Nagpur,MH,440022,2020-03-02 16:23:00 IST,2020-03-05 16:20:00 IST,71.95,0,6,57.93333333333333,NULL,False,RESIDENCE,1,True,11
390767756692,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Pune,MH,411014,2020-03-02 16:23:00 IST,2020-03-04 19:00:00 IST,50.61666666666667,0,5,38.21666666666667,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,9
391128713604,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,New Delhi,DL,110007,2020-03-16 15:44:00 IST,2020-03-21 10:50:00 IST,115.1,0,5,100.48333333333333,NULL,False,RESIDENCE,2,False,14
390767773927,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400025,2020-03-02 16:23:00 IST,2020-03-04 13:00:00 IST,44.61666666666667,0,5,31.4,NULL,False,RESIDENCE,1,True,10
390987545399,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500044,2020-03-10 15:59:00 IST,2020-03-12 14:55:00 IST,46.93333333333333,0,6,40.35,NULL,False,RESIDENCE,1,True,12
390871765957,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500075,2020-03-05 19:20:00 IST,2020-03-07 18:00:00 IST,46.666666666666664,0,4,34.95,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391049864544,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Nagpur,MH,440011,2020-03-12 16:17:00 IST,2020-03-17 18:07:00 IST,121.83333333333333,0,7,91.4,NULL,False,RESIDENCE,2,False,16
390767863940,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Gurgaon,HR,122018,2020-03-02 16:23:00 IST,2020-03-07 18:30:00 IST,122.11666666666666,0,6,106.98333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,2,False,14
390948901463,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bengaluru,KA,560047,2020-03-09 15:12:00 IST,2020-03-10 18:48:00 IST,27.6,0,3,10.8,NULL,False,RESIDENCE,1,True,9
390950797924,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bangalore,KA,560038,2020-03-09 15:12:00 IST,2020-03-10 15:30:00 IST,24.3,0,3,10.8,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
